employee_id,name,department,position,hire_date,exit_date,is_active,salary_band,region
EMP-00001,Karyawan-00001,Operations,Store Manager,2025-04-16,,1,Band-2,Medan
EMP-00002,Karyawan-00002,Operations,Apoteker,2025-09-07,,1,Band-4,Lainnya
EMP-00003,Karyawan-00003,Operations,Kasir,2019-04-22,,1,Band-3,Surabaya
EMP-00004,Karyawan-00004,Operations,Store Manager,2024-05-10,,1,Band-3,Surabaya
EMP-00005,Karyawan-00005,Operations,Area Supervisor,2025-05-24,,1,Band-3,Bandung
EMP-00006,Karyawan-00006,Operations,Apoteker,2018-11-13,,1,Band-3,Makassar
EMP-00007,Karyawan-00007,Operations,Kasir,2019-01-08,,1,Band-1,Semarang
EMP-00008,Karyawan-00008,Operations,Apoteker,2021-05-19,,1,Band-2,Makassar
EMP-00009,Karyawan-00009,Operations,Kasir,2024-10-12,,1,Band-2,Makassar
EMP-00010,Karyawan-00010,Operations,Kasir,2022-04-10,,1,Band-4,Bandung
EMP-00011,Karyawan-00011,Operations,Store Manager,2024-05-14,,1,Band-1,Lainnya
EMP-00012,Karyawan-00012,Operations,Asisten Apoteker,2025-02-23,2025-03-20,0,Band-3,Lainnya
EMP-00013,Karyawan-00013,Operations,Store Manager,2023-02-27,,1,Band-2,Lainnya
EMP-00014,Karyawan-00014,Operations,Apoteker,2023-05-22,,1,Band-1,Semarang
EMP-00015,Karyawan-00015,Operations,Kasir,2023-12-28,,1,Band-2,Semarang
EMP-00016,Karyawan-00016,Operations,Asisten Apoteker,2024-06-10,,1,Band-5,Lainnya
EMP-00017,Karyawan-00017,Operations,Store Manager,2022-03-22,,1,Band-4,Makassar
EMP-00018,Karyawan-00018,Operations,Store Manager,2022-02-12,2025-12-02,0,Band-4,Surabaya
EMP-00019,Karyawan-00019,Operations,Asisten Apoteker,2024-04-13,,1,Band-5,Surabaya
EMP-00020,Karyawan-00020,Operations,Store Manager,2020-08-14,,1,Band-1,Semarang
EMP-00021,Karyawan-00021,Operations,Area Supervisor,2019-10-05,,1,Band-2,Lainnya
EMP-00022,Karyawan-00022,Operations,Kasir,2020-03-27,2025-06-14,0,Band-3,Makassar
EMP-00023,Karyawan-00023,Operations,Area Supervisor,2021-02-25,,1,Band-4,Medan
EMP-00024,Karyawan-00024,Operations,Asisten Apoteker,2018-06-13,,1,Band-1,Bandung
EMP-00025,Karyawan-00025,Operations,Store Manager,2023-06-01,,1,Band-3,Medan
EMP-00026,Karyawan-00026,Operations,Apoteker,2024-03-19,,1,Band-5,Semarang
EMP-00027,Karyawan-00027,Operations,Area Supervisor,2023-08-06,,1,Band-1,Medan
EMP-00028,Karyawan-00028,Operations,Asisten Apoteker,2025-03-16,2025-07-26,0,Band-4,Jakarta
EMP-00029,Karyawan-00029,Operations,Asisten Apoteker,2019-08-25,,1,Band-4,Surabaya
EMP-00030,Karyawan-00030,Operations,Area Supervisor,2025-09-02,,1,Band-3,Jakarta
EMP-00031,Karyawan-00031,Operations,Kasir,2019-09-14,,1,Band-2,Medan
EMP-00032,Karyawan-00032,Operations,Apoteker,2020-11-04,,1,Band-1,Medan
EMP-00033,Karyawan-00033,Operations,Apoteker,2015-04-04,,1,Band-2,Lainnya
EMP-00034,Karyawan-00034,Operations,Asisten Apoteker,2025-11-03,,1,Band-4,Surabaya
EMP-00035,Karyawan-00035,Operations,Asisten Apoteker,2023-08-18,,1,Band-4,Lainnya
EMP-00036,Karyawan-00036,Operations,Kasir,2016-09-21,,1,Band-3,Lainnya
EMP-00037,Karyawan-00037,Operations,Store Manager,2021-11-27,,1,Band-4,Surabaya
EMP-00038,Karyawan-00038,Operations,Kasir,2024-04-01,,1,Band-1,Jakarta
EMP-00039,Karyawan-00039,Operations,Apoteker,2016-02-21,,1,Band-1,Jakarta
EMP-00040,Karyawan-00040,Operations,Asisten Apoteker,2023-10-08,,1,Band-1,Lainnya
EMP-00041,Karyawan-00041,Operations,Kasir,2020-05-06,,1,Band-3,Bandung
EMP-00042,Karyawan-00042,Operations,Store Manager,2022-07-10,,1,Band-3,Lainnya
EMP-00043,Karyawan-00043,Operations,Asisten Apoteker,2022-07-02,,1,Band-4,Lainnya
EMP-00044,Karyawan-00044,Operations,Area Supervisor,2023-01-03,,1,Band-2,Surabaya
EMP-00045,Karyawan-00045,Operations,Area Supervisor,2023-09-23,,1,Band-4,Lainnya
EMP-00046,Karyawan-00046,Operations,Asisten Apoteker,2025-04-15,,1,Band-2,Medan
EMP-00047,Karyawan-00047,Operations,Area Supervisor,2015-10-10,,1,Band-1,Surabaya
EMP-00048,Karyawan-00048,Operations,Asisten Apoteker,2022-09-18,,1,Band-1,Semarang
EMP-00049,Karyawan-00049,Operations,Asisten Apoteker,2016-07-08,,1,Band-1,Bandung
EMP-00050,Karyawan-00050,Operations,Apoteker,2025-12-17,,1,Band-1,Surabaya
EMP-00051,Karyawan-00051,Operations,Kasir,2022-07-10,,1,Band-2,Surabaya
EMP-00052,Karyawan-00052,Operations,Area Supervisor,2025-11-11,,1,Band-1,Medan
EMP-00053,Karyawan-00053,Operations,Asisten Apoteker,2024-09-23,,1,Band-1,Makassar
EMP-00054,Karyawan-00054,Operations,Asisten Apoteker,2022-09-02,,1,Band-4,Lainnya
EMP-00055,Karyawan-00055,Operations,Kasir,2024-08-03,2025-01-19,0,Band-3,Medan
EMP-00056,Karyawan-00056,Operations,Asisten Apoteker,2021-09-03,,1,Band-1,Lainnya
EMP-00057,Karyawan-00057,Operations,Kasir,2021-07-14,,1,Band-1,Surabaya
EMP-00058,Karyawan-00058,Operations,Apoteker,2015-09-11,2025-04-21,0,Band-1,Semarang
EMP-00059,Karyawan-00059,Operations,Store Manager,2018-12-22,,1,Band-1,Jakarta
EMP-00060,Karyawan-00060,Operations,Area Supervisor,2022-08-05,,1,Band-2,Medan
EMP-00061,Karyawan-00061,Operations,Area Supervisor,2025-08-28,,1,Band-4,Surabaya
EMP-00062,Karyawan-00062,Operations,Area Supervisor,2021-03-06,,1,Band-1,Surabaya
EMP-00063,Karyawan-00063,Operations,Store Manager,2021-08-21,,1,Band-2,Makassar
EMP-00064,Karyawan-00064,Operations,Apoteker,2021-11-07,,1,Band-3,Bandung
EMP-00065,Karyawan-00065,Operations,Apoteker,2022-10-20,2025-12-03,0,Band-1,Lainnya
EMP-00066,Karyawan-00066,Operations,Area Supervisor,2025-10-11,,1,Band-4,Lainnya
EMP-00067,Karyawan-00067,Operations,Apoteker,2022-09-03,,1,Band-2,Semarang
EMP-00068,Karyawan-00068,Operations,Asisten Apoteker,2025-03-28,,1,Band-1,Surabaya
EMP-00069,Karyawan-00069,Operations,Store Manager,2025-10-24,2025-12-04,0,Band-1,Medan
EMP-00070,Karyawan-00070,Operations,Apoteker,2023-10-10,,1,Band-2,Lainnya
EMP-00071,Karyawan-00071,Operations,Area Supervisor,2021-12-11,,1,Band-3,Bandung
EMP-00072,Karyawan-00072,Operations,Store Manager,2018-09-26,,1,Band-3,Medan
EMP-00073,Karyawan-00073,Operations,Store Manager,2019-07-21,,1,Band-1,Medan
EMP-00074,Karyawan-00074,Operations,Kasir,2022-07-01,,1,Band-2,Surabaya
EMP-00075,Karyawan-00075,Operations,Kasir,2024-03-07,,1,Band-1,Lainnya
EMP-00076,Karyawan-00076,Operations,Asisten Apoteker,2025-08-28,,1,Band-4,Makassar
EMP-00077,Karyawan-00077,Operations,Store Manager,2023-06-04,2025-05-05,0,Band-4,Surabaya
EMP-00078,Karyawan-00078,Operations,Area Supervisor,2025-11-20,,1,Band-1,Medan
EMP-00079,Karyawan-00079,Operations,Area Supervisor,2018-07-22,,1,Band-3,Jakarta
EMP-00080,Karyawan-00080,Operations,Store Manager,2024-10-17,,1,Band-1,Surabaya
EMP-00081,Karyawan-00081,Operations,Kasir,2023-03-21,2025-03-06,0,Band-1,Surabaya
EMP-00082,Karyawan-00082,Operations,Store Manager,2019-01-15,2025-02-28,0,Band-1,Makassar
EMP-00083,Karyawan-00083,Operations,Kasir,2021-02-02,,1,Band-5,Semarang
EMP-00084,Karyawan-00084,Operations,Apoteker,2024-09-19,,1,Band-4,Makassar
EMP-00085,Karyawan-00085,Operations,Apoteker,2024-08-24,,1,Band-1,Jakarta
EMP-00086,Karyawan-00086,Operations,Asisten Apoteker,2021-05-21,,1,Band-2,Semarang
EMP-00087,Karyawan-00087,Operations,Area Supervisor,2024-01-25,,1,Band-4,Jakarta
EMP-00088,Karyawan-00088,Operations,Store Manager,2024-01-07,,1,Band-4,Jakarta
EMP-00089,Karyawan-00089,Operations,Store Manager,2018-06-25,,1,Band-3,Jakarta
EMP-00090,Karyawan-00090,Operations,Kasir,2019-03-14,,1,Band-1,Bandung
EMP-00091,Karyawan-00091,Operations,Apoteker,2015-11-15,,1,Band-1,Lainnya
EMP-00092,Karyawan-00092,Operations,Kasir,2024-09-26,,1,Band-1,Semarang
EMP-00093,Karyawan-00093,Operations,Store Manager,2020-05-06,,1,Band-5,Surabaya
EMP-00094,Karyawan-00094,Operations,Store Manager,2024-09-26,,1,Band-1,Surabaya
EMP-00095,Karyawan-00095,Operations,Kasir,2023-06-07,,1,Band-1,Bandung
EMP-00096,Karyawan-00096,Operations,Apoteker,2023-11-01,,1,Band-3,Medan
EMP-00097,Karyawan-00097,Operations,Asisten Apoteker,2023-01-06,,1,Band-3,Semarang
EMP-00098,Karyawan-00098,Operations,Kasir,2024-01-05,,1,Band-1,Jakarta
EMP-00099,Karyawan-00099,Operations,Asisten Apoteker,2018-01-24,,1,Band-1,Jakarta
EMP-00100,Karyawan-00100,Operations,Asisten Apoteker,2022-12-09,2025-09-11,0,Band-1,Lainnya
EMP-00101,Karyawan-00101,Operations,Store Manager,2020-04-25,,1,Band-2,Jakarta
EMP-00102,Karyawan-00102,Operations,Kasir,2019-03-27,,1,Band-2,Semarang
EMP-00103,Karyawan-00103,Operations,Asisten Apoteker,2025-04-03,,1,Band-4,Semarang
EMP-00104,Karyawan-00104,Operations,Apoteker,2022-06-10,,1,Band-3,Lainnya
EMP-00105,Karyawan-00105,Operations,Area Supervisor,2021-02-19,,1,Band-3,Jakarta
EMP-00106,Karyawan-00106,Operations,Area Supervisor,2024-01-24,,1,Band-1,Bandung
EMP-00107,Karyawan-00107,Operations,Apoteker,2023-12-25,,1,Band-3,Makassar
EMP-00108,Karyawan-00108,Operations,Kasir,2017-04-22,,1,Band-2,Semarang
EMP-00109,Karyawan-00109,Operations,Area Supervisor,2024-04-01,,1,Band-1,Medan
